分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 4, IPv4: 6, IPv6: 1, 最小延迟: 69 ms, 最高速率: 15.63 M/s, 平均速率: 15.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.75, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 8, IPv6: 1, 最小延迟: 66 ms, 最高速率: 15.92 M/s, 平均速率: 15.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 7, IPv6: 1, 最小延迟: 103 ms, 最高速率: 11.54 M/s, 平均速率: 8.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 3, IPv4: 8, IPv6: 3, 最小延迟: 230 ms, 最高速率: 14.34 M/s, 平均速率: 11.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 7, IPv6: 3, 最小延迟: 66 ms, 最高速率: 15.70 M/s, 平均速率: 14.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 3, IPv4: 6, IPv6: 1, 最小延迟: 72 ms, 最高速率: 16.10 M/s, 平均速率: 14.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山西卫视, 有效: 4, IPv4: 6, IPv6: 3, 最小延迟: 67 ms, 最高速率: 14.23 M/s, 平均速率: 10.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 7, IPv6: 25, 最小延迟: 64 ms, 最高速率: 15.13 M/s, 平均速率: 6.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 8, IPv6: 6, 最小延迟: 100 ms, 最高速率: 10.86 M/s, 平均速率: 9.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 7, IPv6: 6, 最小延迟: 71 ms, 最高速率: 14.44 M/s, 平均速率: 13.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 5, IPv4: 6, IPv6: 1, 最小延迟: 89 ms, 最高速率: 13.45 M/s, 平均速率: 11.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 云南卫视, 有效: 5, IPv4: 6, IPv6: 1, 最小延迟: 73 ms, 最高速率: 15.46 M/s, 平均速率: 14.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 85 ms, 最高速率: 15.14 M/s, 平均速率: 12.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 5, IPv4: 7, IPv6: 6, 最小延迟: 70 ms, 最高速率: 14.17 M/s, 平均速率: 11.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
